,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
1,2007-05-01,83.5,51.0,67.5,14,51.0,56.5,0.0,29.14,29.82,2.2,26.0,9.399999999999999
3,2007-05-02,59.5,42.5,51.5,-3,42.0,47.0,0.0,29.41,30.085,13.15,3.0,13.4
5,2007-05-03,66.5,47.0,57.0,2,40.0,49.0,0.0,29.425,30.12,12.3,6.5,12.55
7,2007-05-04,72.0,50.0,58.0,4,41.5,50.0,0.0025,29.335,30.045,10.25,7.5,10.600000000000001
9,2007-05-05,66.0,53.5,60.0,5,38.5,49.5,0.005,29.43,30.095,11.45,7.0,11.75
11,2007-05-06,68.0,50.5,59.5,4,30.0,46.0,0.0,29.595,30.285,14.100000000000001,10.5,14.75
13,2007-05-07,83.5,48.5,66.0,10,40.0,53.5,0.0025,29.41,30.12,8.55,17.5,10.2
15,2007-05-08,81.0,57.0,69.0,12,57.5,62.5,0.0025,29.325,30.025,2.6,9.5,5.6
17,2007-05-09,76.5,62.0,69.5,13,59.5,63.0,0.075,29.245,29.935000000000002,3.9,8.0,6.050000000000001
19,2007-05-10,83.5,57.5,70.5,14,52.0,60.5,0.0,29.23,29.915,1.35,13.0,4.0
21,2007-05-11,71.5,50.0,61.0,4,43.0,51.0,0.0,29.36,30.035,11.5,19.5,12.850000000000001
23,2007-05-12,64.5,46.5,55.5,-2,36.5,46.0,0.0,29.515,30.195,12.55,2.0,12.95
25,2007-05-13,69.0,43.5,56.5,-2,32.5,46.0,0.0,29.52,30.24,6.5,12.5,7.85
27,2007-05-14,90.0,55.0,72.5,15,46.0,58.5,0.0,29.27,29.975,15.5,21.0,15.95
29,2007-05-15,81.0,56.5,69.0,11,56.0,61.0,0.49,29.16,29.835,8.1,26.0,11.55
31,2007-05-16,65.0,44.5,55.0,-4,42.5,47.5,0.10500000000000001,29.36,30.03,7.9,36.0,12.0
33,2007-05-17,61.5,43.5,53.0,-6,32.0,43.0,0.0,29.585,30.27,11.1,2.0,11.75
35,2007-05-18,70.5,42.5,57.0,-3,30.5,46.5,0.0,29.565,30.255000000000003,4.4,23.5,6.5
37,2007-05-19,80.0,56.0,68.0,8,38.0,53.0,0.0,29.375,30.08,11.1,23.5,11.4
39,2007-05-20,69.0,43.5,56.5,-5,40.5,44.5,0.09,29.41,30.11,9.5,3.5,10.2
41,2007-05-21,79.5,45.0,62.5,1,50.0,56.5,0.0,29.36,30.055,6.3,10.5,8.0
43,2007-05-22,87.0,57.5,72.5,10,45.0,58.0,0.0,29.375,30.055,10.05,17.0,10.399999999999999
45,2007-05-23,89.0,63.0,76.5,14,48.5,61.0,0.0,29.43,30.1,11.15,18.5,11.5
47,2007-05-24,88.0,64.5,76.5,14,53.5,63.0,0.0125,29.439999999999998,30.105,14.350000000000001,20.5,16.25
49,2007-05-25,68.0,56.5,62.5,1,45.0,53.0,0.0475,29.54,30.235,4.7,5.0,8.5
51,2007-05-26,67.5,49.5,58.5,-5,55.0,56.5,0.645,29.39,30.105,2.65,16.0,7.5
53,2007-05-27,75.0,58.0,66.5,4,48.0,56.5,0.06,29.375,30.055,8.55,25.0,9.35
55,2007-05-28,77.5,52.0,65.0,2,48.0,56.5,0.0025,29.46,30.145,4.75,9.0,5.25
57,2007-05-29,88.0,62.5,75.5,10,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95
59,2007-05-30,88.0,68.0,78.5,13,57.5,65.5,0.0,29.345,30.035,10.0,18.0,10.35
61,2007-05-31,79.0,66.5,73.0,8,61.0,65.5,0.27,29.310000000000002,29.994999999999997,9.100000000000001,18.5,9.55
63,2007-06-01,85.5,64.5,75.5,10,63.0,66.5,0.2,29.22,29.905,4.45,16.5,6.1
65,2007-06-02,81.0,66.5,74.0,9,62.5,67.0,0.0225,29.065,29.765,7.0,21.5,7.8
67,2007-06-03,77.5,63.0,70.5,6,60.0,63.5,0.165,28.845,29.549999999999997,5.050000000000001,24.5,6.95
69,2007-06-04,71.5,57.0,64.5,1,57.5,60.0,0.35,28.85,29.515,7.85,30.5,9.899999999999999
71,2007-06-05,63.5,49.0,56.5,-9,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85
73,2007-06-06,72.0,46.0,59.5,-8,47.5,55.0,0.0075,29.1,29.814999999999998,10.2,16.0,11.0
75,2007-06-07,91.5,71.0,81.5,15,61.5,68.5,0.0,28.875,29.55,21.5,19.5,21.9
77,2007-06-08,81.0,60.0,70.5,3,53.5,61.5,0.0,29.21,29.84,10.100000000000001,27.0,13.100000000000001
79,2007-06-09,79.0,54.5,67.0,0,48.0,57.5,0.0,29.39,30.060000000000002,1.3499999999999999,26.0,4.85
81,2007-06-10,81.0,58.0,69.5,1,50.5,59.5,0.0,29.365000000000002,30.045,4.699999999999999,16.5,5.699999999999999
